term_id,course_id,department,title,lab_sections_count,lab_section_ids
202508,AGST312,AGST,Viticulture and Enology,1,0101
202508,ANSC103,ANSC,Principles of Animal Science Laboratory,5,"0101,0201,0301,0401,0501"
202508,ANSC201,ANSC,Anatomy and Physiology of Domestic Animals,3,"0101,0102,0103"
202508,ANSC232,ANSC,Horse Management,2,"0101,0102"
202508,ANSC246,ANSC,Beef Management,1,0101
202508,ANSC260,ANSC,Laboratory Animal Management,1,0101
202508,ANSC447,ANSC,Physiology of Mammalian Reproduction Laboratory,2,"0101,0102"
202508,ANSC455,ANSC,Applied Animal Behavior,1,0101
202508,ANTH222,ANTH,Introduction to Ecological and Evolutionary Anthropology,6,"0101,0102,0103,0104,0105,0106"
202508,AOSC201,AOSC,Weather and Climate Laboratory,8,"0101,0102,0103,0104,0105,0106,0107,0108"
202508,ARCH171,ARCH,Design Thinking and Making in Architecture,2,"0101,0102"
202508,ARMY301,ARMY,Advanced Military Leadership I,1,0101
202508,ARMY401,ARMY,Advanced Military Leadership III,1,0101
202508,ARSC059,ARSC,Air Force Officer Lab,2,"0101,FC01"
202508,ARTT100,ARTT,Two-Dimensional Design Fundamentals,6,"0101,0201,0501,0601,0701,0801"
202508,ARTT110,ARTT,Elements of Drawing I,9,"0101,0201,0501,0701,0801,0901,1001,1101,1201"
202508,ARTT110S,ARTT,Elements of Drawing I,1,0601
202508,ARTT200,ARTT,Three-Dimensional Art Fundamentals,4,"0101,0201,0301,0401"
202508,ARTT210,ARTT,Elements of Drawing II,3,"0201,0301,0401"
202508,ARTT255,ARTT,Introduction to Digital Art and Design Processes,3,"0101,0201,0301"
202508,ARTT320,ARTT,Elements of Painting,3,"0101,0201,0301"
202508,ARTT341,ARTT,Elements of Printmaking: Woodcut and Relief,1,0101
202508,ARTT341H,ARTT,Elements of Printmaking: Woodcut and Relief,1,0101
202508,ARTT355,ARTT,Intermediate Graphic Design Principles,1,0101
202508,ARTT356,ARTT,Graphic Design Processes,1,0101
202508,ARTT370,ARTT,Elements of Digital Media,3,"0101,0201,0301"
202508,ARTT418B,ARTT,Advanced Drawing Studio; A Contemporary Approach,2,"0101,0201"
202508,ARTT418H,ARTT,Advanced Drawing Studio; Honors,2,"0101,0201"
202508,ARTT426,ARTT,Advanced Painting: Painting on Site I,1,0101
202508,ARTT428,ARTT,Advanced Painting Studio; Painting,3,"0101,0201,0301"
202508,ARTT428H,ARTT,Advanced Painting Studio; Honors,3,"0101,0201,0401"
202508,ARTT454,ARTT,Advanced Graphic Design Principles: Design in Society,1,0101
202508,ARTT457,ARTT,Advanced Interactive Design,1,0101
202508,ARTT479A,ARTT,Advanced Digital Media Studio; Code and Form,1,0101
202508,ARTT479D,ARTT,Advanced Digital Media Studio; Immersive and Virtual Environments,1,0101
202508,ARTT479H,ARTT,Advanced Digital Media Studio; Honors Advanced Digital Media,2,"0101,0201"
202508,ASTR101,ASTR,General Astronomy,11,"0101,0102,0103,0104,0105,0106,0107,0108,0109,0110,FC01"
202508,ASTR310,ASTR,Observational Astronomy,2,"0101,0102"
202508,BCHM464,BCHM,Biochemistry Laboratory,2,"0101,0102"
202508,BCHM477,BCHM,Biomolecular Measurement and Data Analysis,1,0101
202508,BIOE121,BIOE,Biology for Engineers Laboratory,4,"0101,0102,0103,0104"
202508,BIOE340,BIOE,Modeling Physiological Systems and Lab,2,"0101,0102"
202508,BIOE457,BIOE,Biomedical Electronics & Instrumentation,2,"0101,0102"
202508,BIOL667,BIOL,Mathematical Biology,1,0101
202508,BIOL709C,BIOL,Selected Advanced Topics in Biology; Population and Evolutionary Genetics,1,0101
202508,BIOM601,BIOM,Biostatistics I,3,"0101,0102,0104"
202508,BMGT402,BMGT,Database Systems,4,"0101,0201,0301,0401"
202508,BMGT406,BMGT,Developing Applications for the Web and Social Media,1,0101
202508,BSCI135,BSCI,Amazing Green: Plants that Transformed the World,5,"0101,0102,0103,0104,0105"
202508,BSCI161,BSCI,Principles of Ecology and Evolution Lab,16,"6104,6105,6110,6111,6201,6204,6205,6211,6302,6304,6307,6311,6401,6405,6408,6410"
202508,BSCI161C,BSCI,Principles of Ecology and Evolution Lab,6,"6108,6207,6210,6308,6404,6407"
202508,BSCI161S,BSCI,Principles of Ecology and Evolution Lab,3,"6107,6208,6411"
202508,BSCI171,BSCI,Principles of Molecular & Cellular Biology Laboratory,31,"1021,1022,1031,1032,1033,1034,2021,2022,2023,2031,2032,2033,3021,3022,3031,3032,3033,3041,4021,4022,4031,4032,4033,4041,4042,FC1M,FC1N,FC3N,FC5A,FC5B,SEF1"
202508,BSCI201,BSCI,Human Anatomy and Physiology I,21,"0101,0102,0103,0104,0105,0106,0107,0108,0109,0110,0112,1101,1102,1103,1104,1105,1106,1107,1109,1110,SEF1"
202508,BSCI202,BSCI,Human Anatomy and Physiology II,14,"0101,0102,0105,0106,0109,0110,0112,1101,1102,1103,1105,1107,1108,1109"
